;TEAM;Opp_team
0;New York Knicks Knicks;NYK
1;Los Angeles Lakers Lakers;LAL
2;Utah Jazz Jazz;UTA
3;Phoenix Suns Suns;PHO
4;Los Angeles Clippers Clippers;LAC
5;Houston Rockets Rockets;HOU
6;Boston Celtics Celtics;BOS
7;Memphis Grizzlies Grizzlies;MEM
8;Cleveland Cavaliers Cavaliers;CLE
9;Philadelphia 76ers 76ers;PHI
10;Miami Heat Heat;MIA
11;Atlanta Hawks Hawks;ATL
12;Charlotte Hornets Hornets;CHO
13;Milwaukee Bucks Bucks;MIL
14;Toronto Raptors Raptors;TOR
15;San Antonio Spurs Spurs;SAS
16;Indiana Pacers Pacers;IND
17;Denver Nuggets Nuggets;DEN
18;Orlando Magic Magic;ORL
19;New Orleans Pelicans Pelicans;NOP
20;Dallas Mavericks Mavericks;DAL
21;Detroit Pistons Pistons;DET
22;Oklahoma City Thunder Thunder;OKC
23;Golden State Warriors Warriors;GSW
24;Minnesota Timberwolves Timberwolves;MIN
25;Portland Trail Blazers Blazers;POR
26;Chicago Bulls Bulls;CHI
27;Sacramento Kings Kings;SAC
28;Brooklyn Nets Nets;BRK
29;Washington Wizards Wizards;WAS
