;Unnamed: 0;Tm;Tm_2;Team_name
0;0;ATL;atl;Hawks
1;1;BOS;bos;Celtics
2;2;BRK;bkn;Nets
3;3;CHI;chi;Bulls
4;4;CHO;cha;Hornets
5;5;CLE;cle;Cavaliers
6;6;DAL;dal;Mavericks
7;7;DEN;den;Nuggets
8;8;DET;det;Pistons
9;9;GSW;gs;Warriors
10;10;HOU;hou;Rockets
11;11;IND;ind;Pacers
12;12;LAC;lac;Clippers
13;13;LAL;lal;Lakers
14;14;MEM;mem;Grizzlies
15;15;MIA;mia;Heat
16;16;MIL;mil;Bucks
17;17;MIN;min;Timberwolves
18;18;NOP;no;Pelicans
19;19;NYK;ny;Knicks
20;20;OKC;okc;Thunder
21;21;ORL;orl;Magic
22;22;PHI;phi;Sixers
23;23;PHO;pho;Suns
24;24;POR;por;Trail-Blazers
25;25;SAC;sac;Kings
26;26;SAS;sa;Spurs
27;27;TOR;tor;Raptors
28;28;UTA;utah;Jazz
29;29;WAS;wsh;Wizards
